torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 69, Train Loss = 0.14, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.14, Valid loss = 0.19, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.22, lr = 0.00100
Epoch: 70, Train Loss = 0.14, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.14, Valid loss = 0.19, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.21, lr = 0.00100
Epoch: 71, Train Loss = 0.14, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.14, Valid loss = 0.18, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.21, lr = 0.00100
Epoch: 72, Train Loss = 0.14, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.14, Valid loss = 0.18, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.20, lr = 0.00100
Epoch: 73, Train Loss = 0.14, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.14, Valid loss = 0.18, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.21, lr = 0.00100
Epoch: 74, Train Loss = 0.14, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.14, Valid loss = 0.18, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.20, lr = 0.00100
Epoch: 75, Train Loss = 0.14, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.14, Valid loss = 0.18, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.20, lr = 0.00100
Epoch: 76, Train Loss = 0.14, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.14, Valid loss = 0.18, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.21, lr = 0.00100
Epoch: 77, Train Loss = 0.14, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.14, Valid loss = 0.18, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.21, lr = 0.00100
Epoch: 78, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.14, Valid loss = 0.18, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.20, lr = 0.00100
Epoch: 79, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.13, Valid loss = 0.18, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.20, lr = 0.00100
Epoch: 80, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.13, Valid loss = 0.18, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.20, lr = 0.00100
Epoch: 81, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.13, Valid loss = 0.18, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.20, lr = 0.00100
Epoch: 82, Train Loss = 0.13, Train Recon Loss = 0.13, Train Masked Recon Loss = 0.13, Valid loss = 0.18, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.20, lr = 0.00100
